"STATION","NAME","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-24","8.28"," 1148"," 1119","  240","  240","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-25","14.99"," 1230"," 1829","  330","  350","23.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-26","12.30"," 0219"," 0218","  340","  340","17.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-27","6.93"," 0425"," 0214","  340","  310","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-28","4.92"," 0548"," 1459","  150","   70","13.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-29","12.30"," 1615"," 1109","   70","   90","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-30","6.26"," 0012"," 2026","   90","  320","15.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-31","11.86"," 1547"," 1638","  240","  240","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-01","10.96"," 1545"," 1223","  280","   10","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-02","11.41"," 1846"," 1845","  200","  200","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-03","12.53"," 1546"," 1602","  300","  290","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-04","12.75"," 1003"," 1003","  350","  360","25.1","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-05","11.63"," 1138"," 1616","  260","  250","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-06","5.59"," 1308"," 1303","  230","  230","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-07","8.05"," 0514"," 1713","  340","   40","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-08","9.62"," 2149"," 1632","  220","  210","17.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-09","10.07"," 0329"," 0328","  210","  210","21.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-10","11.41"," 2333"," 1713","  340","   20","17.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-11","10.29"," 0031"," 0026","  330","  330","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-12","6.93"," 1107"," 1126","  130","  130","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-13","11.41"," 1943"," 1835","   50","   40","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-14","8.95"," 1621"," 1405","  290","   10","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-15","12.30"," 2337"," 2343","  280","  280","25.1","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-16","10.29"," 0248"," 0009","  330","  290","25.1","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-17","9.84"," 2106"," 2105","  100","  110","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-18","15.66"," 1248"," 1257","   50","   50","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-19","11.41"," 1945"," 1945","  250","  240","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-20","8.28"," 0806"," 0805","  290","  290","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-21","10.07"," 2031"," 1746","  190","  170","17.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-22","9.40"," 1324"," 1345","  190","  200","17.9","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-23","13.20"," 2303"," 1445","  180","  190","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-24","12.08"," 1550"," 1005","  250","  200","21.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-25","12.08"," 1450"," 1448","  190","  210","28.0","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-26","15.88"," 1057"," 1310","  180","  190","30.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-27","14.09"," 1501"," 1311","  280","  280","23.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-28","6.93"," 2149"," 2213","  160","  160","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-02-29","15.21"," 2018"," 2017","  200","  190","28.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-01","14.99"," 0813"," 0817","  320","  310","25.1","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-02","8.28"," 1050"," 0926","   20","   40","17.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-03","4.03"," 1418"," 0939","  100","   60","11.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-04","9.17"," 1359"," 1338","  260","  230","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-05","4.92"," 1302"," 1749","  240","   50","14.1","17.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-06","7.38"," 1531"," 1321","  180","  190","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-07","11.18"," 1514"," 1513","  220","  230","21.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-08","13.87"," 2031"," 2030","  200","  190","29.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-09","14.76"," 0705"," 0705","  250","  250","31.1","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-10","9.40"," 0322"," 1545","  350","   40","14.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-11","11.63"," 1050"," 1601","   20","   50","23.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-12","5.59"," 1412"," 1232","  320","  280","14.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-13","7.61"," 0820"," 0825","  200","  200","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-14","11.18"," 1706"," 1820","  200","  210","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-15","10.96"," 2031"," 2100","   20","  360","28.0","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-16","15.21"," 1421"," 1245","   20","   30","23.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-17","10.51"," 0818"," 0814","   70","   60","19.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-18","10.51"," 0514"," 1646","  140","   70","17.9","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-19","11.41"," 1148"," 1243","   60","   50","21.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-20","8.50"," 1116"," 1740","  120","   60","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-21","4.25"," 0108"," 0108","  260","  250","11.0","13.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-22","2.91"," 1507"," 2200","  200","   40","8.9","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-23","6.04"," 1524"," 1738","   90","   80","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-24","11.18"," 1650"," 1650","  240","  230","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-25","16.11"," 1600"," 1544","  270","  280","30.0","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-26","11.18",,,"  310","  300","28.0","34.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-27","14.54",,,"  290","  290","25.9","34.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-28","12.08"," 1148"," 0759","  330","  340","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-29","7.61"," 1542"," 1601","  100","   80","16.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-30","3.80"," 1519"," 0612","   90","   60","13.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-03-31","4.70"," 1629"," 1719","  210","  230","12.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-01","6.04"," 0636"," 0630","  310","  310","14.1","17.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-02","5.37"," 1624"," 0127","   90","   60","14.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-03","12.08"," 2150"," 2149","  320","  330","25.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-04","13.65"," 1539"," 1538","  320","  320","23.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-05","12.53"," 1436"," 1602","  160","  200","30.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-06","13.87"," 0645"," 0148","  270","  290","29.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-07","16.78"," 2118"," 2255","   20","   20","31.1","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-08","13.42"," 0136"," 0023","  350","  360","25.1","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-09","11.41"," 1519"," 1518","  320","  320","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-10","10.96"," 1821"," 0845","   60","   60","16.1","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-11","8.05"," 1322"," 0538","   40","   60","15.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-12","9.40"," 1354"," 1628","  130","   80","17.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-13","10.29"," 1335"," 1334","  200","  170","19.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-14","12.97"," 1455"," 2212","  190","  190","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-15","11.86"," 2003"," 2002","   20","   20","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-16","12.30"," 2014"," 2013","   40","   40","19.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-17","12.30"," 0921"," 1145","   20","   30","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-18","4.70"," 1916"," 1720","  210","  200","10.1","13.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-19","10.96"," 1428"," 1427","  110","  120","25.1","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-20","12.53"," 0800"," 1521","   60","  270","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-21","15.21"," 0647"," 0647","   10","   10","33.1","40.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-22","4.92"," 1533"," 1531","  100","   90","14.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-23","8.05"," 1215"," 0946","  130","   80","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-24","12.53"," 1630"," 1554","   20","   30","25.9","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-25","10.07"," 1510"," 1510","   20","   20","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-26","4.92"," 1226"," 1116","   70","   60","12.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-27","5.59"," 1451"," 1709","   70","   60","14.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-28","5.82"," 2250"," 2249","   20","   20","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-29","11.18"," 0207"," 0851","   40","   50","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-04-30","4.70"," 1736"," 1741","  100","   80","14.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-01","6.26"," 2023"," 2025","   60","   60","17.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-02","6.93"," 1524"," 1523","  110","  110","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-03","9.40"," 1257"," 1317","  170","  160","17.9","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-04","10.96"," 1241"," 1241","  210","  210","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-05","9.40"," 1405"," 1544","  200","  190","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-06","12.53"," 1601"," 1249","  200","  190","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-07","8.28"," 2314"," 2308","  200","  190","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-08","12.30"," 2157"," 2156","  340","  320","32.0","48.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-09","12.97"," 1839"," 1830","   20","   10","28.0","34.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-10","6.93"," 0059"," 0044","  330","   10","17.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-11","12.30"," 1347"," 2347","  180","  210","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-12","11.86"," 1449"," 1348","  240","  220","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-13","14.99"," 1347"," 1058","  270","  260","25.9","34.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-14","10.51"," 1427"," 1442","  310","  320","25.9","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-15","4.70"," 2357"," 1412","  170","  250","14.1","17.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-16","6.71"," 0621"," 0620","  240","  250","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-17","9.40"," 1112"," 1150","  120","   30","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-18","14.09"," 1741"," 1740","   70","   60","36.0","46.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-19","13.42"," 0020"," 0018","   40","   40","25.1","34.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-20","3.80"," 1635"," 1449","  100","   90","13.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-21","5.82"," 1211"," 1411","  240","  210","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-22","7.38"," 1451"," 1450","  240","  240","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-23","8.28"," 1558"," 1605","  310","  290","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-24","11.63"," 1714"," 1714","  270","  260","31.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-25","10.51"," 1110"," 1112","  310","  310","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-26","6.71"," 2314"," 2240","  120","   90","17.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-27","9.40"," 0853"," 0853","   70","   60","19.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-28","8.05"," 1502"," 1150","   20","   40","19.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-29","5.82"," 1340"," 1453","  100","   70","15.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-30","9.40"," 1229"," 1240","  170","  180","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-05-31","8.50"," 2057"," 2056","   10","   10","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-01","9.17"," 2138"," 2138","  310","  310","31.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-02","10.29"," 0541"," 0540","  340","  340","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-03","6.04"," 1512"," 1122","   90","   60","13.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-04","7.38"," 2249"," 1538","   50","   70","16.1","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-05","14.09"," 1145"," 1217","   30","   60","23.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-06","4.92"," 1614"," 1705","   40","   50","13.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-07","9.40"," 1718"," 1718","  210","  210","23.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-08","11.41"," 0658"," 2234","  250","  220","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-09","11.18"," 1638"," 1553","  200","  220","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-10","13.87"," 1317"," 1304","  200","  210","25.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-11","8.95"," 1746"," 2226","   40","   40","17.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-12","8.28"," 1447"," 1225","   30","   40","15.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-13","6.49"," 1836"," 1952","  320","   80","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-14","10.29"," 1616"," 1612","  220","  240","21.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-15","12.75"," 1236"," 1235","  240","  240","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-16","12.08"," 0147"," 0055","  210","  210","23.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-17","8.50"," 0246"," 1103","  340","   60","15.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-18","5.59"," 1411"," 0920","   60","   60","14.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-19","6.49"," 1738"," 1609","  180","  180","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-20","12.08"," 1424"," 1418","  210","  220","21.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-21","13.42"," 1504"," 1624","  260","  260","25.1","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-22","12.08"," 1258"," 1256","  300","  300","25.1","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-23","4.25"," 1846"," 1847","  240","  250","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-24","6.26"," 1833"," 1826","   20","   20","17.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-25","5.59"," 0552"," 0551","  290","  290","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-26","9.40"," 1421"," 1419","  320","  320","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-27","6.71"," 1459"," 0916","  310","   10","14.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-28","4.92"," 1746"," 1629","  260","  230","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-29","7.61"," 1319"," 1313","  310","  300","17.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-06-30","4.70"," 1849"," 1608","  240","  250","14.1","17.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-01","7.61"," 1534"," 1227","  200","  190","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-02","7.16"," 2211"," 2210","  350","  330","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-03","7.16"," 1502"," 1152","   30","   50","14.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-04","4.70"," 1925"," 1914","   40","   50","12.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-05","5.82"," 1513"," 1050","   50","   30","13.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-06","9.84"," 1708"," 1645","   40","   40","17.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-07","10.07"," 1308"," 0602","   90","   90","16.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-07-08","7.61"," 1040"," 1035","  110","   70","16.1","23.9"
